solved,solution,programs,time,program_probability
False,,120939,146.71882067100012,323.5145718787137
False,(turnRight (putMarker (move (putMarker var0)))),1657,0.1056397970000944,64.72595150346973
False,,21029,60.04272062500013,189.21492034113587
False,(move (move var0)),29,0.005563144999996439,12.208071553760853
False,(putMarker var0),3,0.004062057999817625,5.301898110478397
False,(turnRight (turnRight (repeat 3 move var0))),8203,6.021239400000013,120.18768946345331
False,(move (move (turnLeft (while frontIsClear move var0)))),68088,52.9710863329999,254.81946529795582
False,(turnRight (turnRight var0)),20,0.004751381999994919,12.208071553760853
False,,20848,60.039467307999985,189.21492034113587
False,,120939,146.14585458600004,323.5145718787137
False,(turnLeft (putMarker (move (putMarker (move var0))))),12133,2.8841312090000883,149.03701106174492
False,(turnRight (turnRight var0)),20,0.004778552000061609,12.208071553760853
False,(turnLeft (putMarker (turnLeft var0))),120,0.011952699000175926,28.110123573894395
False,,20814,60.22915617700005,189.21492034113587
False,(turnLeft (while frontIsClear move (turnLeft var0))),6145,4.3283182790000865,110.6666876604394
False,(putMarker (move (putMarker var0))),182,0.014415748999908828,28.110123573894395
False,(turnLeft (putMarker (turnLeft var0))),120,0.011340635999886217,28.110123573894395
False,(turnLeft (move (turnLeft var0))),140,0.011918714999865188,28.110123573894395
False,,20876,60.078162767999856,189.21492034113587
False,,21115,60.000209821,189.21492034113587
False,(move (turnLeft var0)),30,0.005299072999832788,12.208071553760853
False,(turnLeft (putMarker (turnLeft (move var0)))),1374,0.09083720200010248,64.72595150346973
False,(pickMarker (move (putMarker var0))),217,0.020334142000137945,28.110123573894395
False,(putMarker (move (move (turnLeft var0)))),1850,0.11181271000009474,64.72595150346973
False,,119966,60.08613165199995,263.81477049546305
False,,20841,60.06533447499987,189.21492034113587
False,(putMarker (turnRight (move (putMarker (move var0))))),12483,6.57851821700001,149.03701106174492
False,,40036,60.00029723699981,232.03319447301462
False,(move (move (turnLeft (putMarker var0)))),1577,0.09821420499997657,64.72595150346973
False,,21126,60.21298878399989,189.21492034113587
False,(turnLeft var0),6,0.004044733000000633,5.301898110478397
False,(turnRight (putMarker (repeat 8 move var0))),8143,5.602655105999929,120.18768946345331
False,,27232,60.000157172999934,205.4936726541419
False,,25613,60.000860511000155,198.28808554369581
False,(turnRight (putMarker (while frontIsClear move var0))),6463,5.495650383000111,110.66668766043938
False,,29028,60.000008837999985,205.4936726541419
False,(turnLeft (putMarker (turnLeft var0))),120,0.011757924999983516,28.110123573894395
False,(putMarker (move (putMarker (turnLeft (move var0))))),12544,6.187904434000075,149.03701106174492
False,,27116,60.0010929770001,205.4936726541419
False,,119968,60.09184270700007,263.81477049546305
False,(putMarker (turnRight var0)),11,0.004525371999989147,12.208071553760853
False,(putMarker (move (turnLeft var0))),185,0.012783328000296024,28.110123573894395
False,(turnRight (turnRight var0)),20,0.004481149000184814,12.208071553760853
False,(while frontIsClear move (turnLeft (putMarker var0))),5172,5.257225716999983,110.6666876604394
False,(pickMarker (move (putMarker (move var0)))),1263,0.09578099999998813,64.72595150346973
False,(turnLeft (putMarker (move (turnLeft (move var0))))),12124,6.1120745780003745,149.03701106174492
False,,28051,60.000686178999786,205.4936726541419
False,(putMarker (turnRight var0)),11,0.0043040979999204865,12.208071553760853
False,(turnRight (turnRight (repeat 4 move var0))),8228,6.996625164999841,120.18768946345331
False,,21024,60.26031894300013,189.21492034113587
False,(move var0),2,0.003926955000224552,5.301898110478397
False,(move (move (turnLeft (putMarker var0)))),1577,0.10346989300023779,64.72595150346973
False,(putMarker (turnRight (move var0))),179,0.013821264999933192,28.110123573894395
False,,119971,60.097380797999904,263.81477049546305
False,,21064,60.08050896699979,189.21492034113587
False,,26758,60.00003764700023,205.4936726541419
False,,120939,150.4493948600002,323.5145718787137
False,(putMarker (turnRight var0)),11,0.004617012000380782,12.208071553760853
False,,20814,60.0525966539999,189.21492034113587
False,(turnLeft (putMarker (move (turnLeft var0)))),1385,0.084342998000011,64.72595150346973
False,(turnRight (repeat 8 move (putMarker var0))),7942,5.524200310999731,120.18768946345334
False,(move (turnLeft (putMarker var0))),152,0.012317205999806902,28.110123573894395
False,(putMarker (move (move var0))),184,0.01358957399997962,28.110123573894395
False,,21024,60.25839961199972,189.21492034113587
False,(turnLeft var0),6,0.004080403999978444,5.301898110478397
False,(turnRight (turnRight var0)),20,0.004526432000147906,12.208071553760853
False,,21032,60.00482750399988,189.21492034113587
False,(putMarker (turnRight (move var0))),179,0.013770668999768532,28.110123573894395
False,,20826,60.20293492300016,189.21492034113587
False,(turnRight (putMarker (while frontIsClear move var0))),6463,6.056182944999819,110.66668766043938
False,,27233,60.000206509000236,205.4936726541419
False,(turnRight (move (putMarker (move var0)))),1713,0.09915115600006175,64.72595150346973
False,(turnRight (turnRight var0)),20,0.004497569999784901,12.208071553760853
False,(putMarker (turnLeft var0)),10,0.004232248000334948,12.208071553760853
False,(move (putMarker (move (move (putMarker var0))))),14242,6.62896005399989,149.03701106174492
False,,31053,60.082630922000135,221.4159377671524
False,,120939,144.8047992060001,323.5145718787137
False,(turnRight (move (putMarker (move var0)))),1713,0.08907528500003536,64.72595150346973
False,(putMarker (turnLeft (turnLeft (repeat 3 move var0)))),79498,53.75303037799995,276.74238211994515
False,(turnRight (putMarker (repeat 3 move var0))),8133,5.591979836000064,120.18768946345331
False,(move (putMarker (move (putMarker var0)))),1532,0.09169943999995667,64.72595150346973
False,,119968,60.13308167800005,263.81477049546305
False,(turnLeft (putMarker (turnLeft (move var0)))),1374,0.0949077559998841,64.72595150346973
