solved,solution,programs,time,program_probability
False,(turnRight (putMarker (repeat 3 move var0))),554,0.0352662740000369,120.18768946345331
False,(repeat 5 move (turnLeft (putMarker (repeat 8 move var0)))),30503,2.052749677999941,1183.2401731060875
False,(turnRight (move (putMarker (move var0)))),335,0.02154899699996804,64.72595150346973
False,(turnRight (turnRight var0)),15,0.004671718999929908,12.208071553760853
False,(turnLeft (putMarker var0)),16,0.004827900000009322,12.208071553760853
False,(move (putMarker (move (move (putMarker var0))))),1485,0.11741547799999807,149.03701106174492
False,(repeat 9 move (turnRight (repeat 5 move (turnLeft (putMarker var0))))),128584,8.313591480000014,2724.511184025771
False,(turnRight (repeat 9 move (turnLeft (repeat 8 move var0)))),29208,1.8907096819999651,1183.2401731060875
False,(turnRight (move (putMarker (move var0)))),335,0.02171307399999023,64.72595150346973
False,(turnLeft (turnLeft (putMarker (repeat 3 move var0)))),3024,0.28003654500002995,276.74238211994515
False,(turnRight (putMarker (repeat 3 move var0))),554,0.034838225999919814,120.18768946345331
False,(move (putMarker (move (putMarker var0)))),256,0.018719759999953567,64.72595150346973
False,(move (turnLeft (pickMarker (repeat 6 move (turnLeft (putMarker (move var0))))))),230592,15.391790774000015,3378.4908028785185
False,(turnLeft (turnLeft (putMarker (move var0)))),219,0.01679052299994055,64.72595150346973
False,(repeat 9 move var0),28,0.006202039000072546,22.66880406960681
False,(putMarker (repeat 3 move var0)),137,0.013912103000052412,52.19685032667939
False,(turnRight (pickMarker (move (move (putMarker (repeat 7 move (turnLeft var0))))))),191596,13.272979402000033,3378.4908028785185
False,(turnRight var0),5,0.00430642000003445,5.301898110478397
False,(turnRight (putMarker var0)),12,0.0046339049999915005,12.208071553760853
False,(turnLeft (turnLeft (pickMarker (move (move (putMarker var0)))))),5422,0.31027097399999093,343.1703999751625
False,(turnRight (repeat 3 move (putMarker (move var0)))),3432,0.29700321600000734,276.74238211994515
False,(turnLeft (turnLeft (putMarker var0))),35,0.006243528000027254,28.110123573894395
False,(turnRight (putMarker var0)),12,0.004633421999983511,12.208071553760853
False,(turnLeft (putMarker var0)),16,0.005043737000050896,12.208071553760853
False,(turnRight (putMarker var0)),12,0.0046352519999572905,12.208071553760853
False,(turnLeft (turnLeft (move (turnLeft (putMarker (repeat 5 move var0)))))),35409,2.3633716350000213,1467.2599128510276
False,(turnLeft (putMarker var0)),16,0.005145761999983733,12.208071553760853
False,(turnLeft (repeat 4 move (turnLeft (repeat 6 move var0)))),27882,1.8408401489999733,1183.2401731060875
False,(turnLeft var0),6,0.0041843199999220815,5.301898110478397
False,(turnLeft (turnLeft (pickMarker (repeat 3 move (putMarker (move var0)))))),34836,2.334021861999986,1467.2599128510276
False,(putMarker (repeat 5 move var0)),138,0.013708817999940948,52.19685032667939
